약국ID,주소,약국명,대표전화1,진료시간(월요일)C,진료시간(화요일)C,진료시간(수요일)C,진료시간(목요일)C,진료시간(금요일)C,진료시간(토요일)C,진료시간(일요일)C,진료시간(공휴일)C,진료시간(월요일)S,진료시간(화요일)S,진료시간(수요일)S,진료시간(목요일)S,진료시간(금요일)S,진료시간(토요일)S,진료시간(일요일)S,진료시간(공휴일)S,우편번호1,우편번호2,병원경도,병원위도,작업일시
C1101351,서울특별시 성북구 오패산로1길 1 (하월곡동),석산약국,02-912-2020,2130,2130,2130,2130,2130,1900,2000,1500,900,900,900,900,900,900,1100,900,27,40,127.0371938,37.60343952,42:11.0
C1109395,서울특별시 송파구 송파대로45길 3 1층 (석촌동),석촌미소약국,02-423-9730,2000,2000,2000,1900,1900,1500,2000,1500,830,830,830,830,830,800,1100,900,56,16,127.1054042,37.50625124,42:11.0
C1108708,서울특별시 송파구 송파대로 437 1층 (석촌동),석촌사랑약국,02-418-9513,2000,2000,2000,2000,2000,1500,2000,1500,900,900,900,900,900,900,1100,900,56,16,127.1063254,37.50562305,42:11.0
C1108818,서울특별시 송파구 송파대로45길 4 1층 (석촌동 호반빌라),석촌솔약국,02-415-8667,2000,2000,2000,2000,2000,1600,2000,1500,830,830,830,830,830,830,1100,900,56,9,127.1053029,37.50645253,42:11.0
C1108083,서울특별시 송파구 송파대로 438 103호 (송파동),석촌온누리약국,02-421-9789,1500,1500,1500,1500,1500,1600,2000,1500,900,900,900,900,900,830,1100,900,56,26,127.1070184,37.50592588,42:11.0
C1101292,서울특별시 송파구 송파대로 441 청호빌딩 1층 (석촌동),석촌한우리약국,02-419-9565,1930,1930,1930,1930,1930,1530,2000,1500,830,830,830,830,830,830,1100,900,56,16,127.1061677,37.50580771,42:11.0
C1107898,서울특별시 강남구 개포로 615 401호 (개포동 석탑프라자),석탑이레약국,02-3411-3968,1800,1800,1800,1800,1800,1400,2000,1500,900,900,900,900,900,900,1100,900,63,35,127.0755862,37.49265853,42:11.0
C1101295,서울특별시 영등포구 국제금융로2길 24 삼성생명(주)여의도빌딩 1층 4호 (여의도동),선경약국,02-786-1192,1900,1900,1900,1900,1900,1400,2000,1500,900,900,900,900,900,900,1100,900,73,25,126.924857,37.52427686,42:11.0
C1102579,서울특별시 강남구 선릉로 510 1층 (삼성동),선릉수정약국,02-558-8025,2100,2100,2100,2100,2100,1600,2000,1500,900,900,900,900,900,900,1100,900,61,62,127.0489486,37.50517133,42:11.0
C1108180,서울특별시 강남구 테헤란로 333 지하1층 (역삼동),선릉코코약국,02-563-1222,1930,1930,1930,1930,1930,1700,2000,1500,1000,1000,1000,1000,1000,900,1100,900,61,50,127.0480118,37.50469598,42:11.0
C1108169,서울특별시 강남구 테헤란로 326 역삼 아이타워 지하1층 (역삼동),선릉타워약국,02-508-5118,1900,1900,1900,1900,1900,1700,2000,1500,800,800,800,800,800,800,1100,900,62,11,127.0470339,37.5035467,42:11.0
C1107252,서울특별시 강동구 올림픽로 800 (암사동),선사약국,02-442-8418,2100,2100,2100,2100,2100,1700,2000,1500,900,900,900,900,900,800,1100,900,52,63,127.1285867,37.55230953,42:11.0
C1102246,서울특별시 송파구 올림픽로4길 15  (잠실동 아시아선수촌아파트),선수촌약국,02-417-5463,1930,1930,1930,1930,1930,1800,2000,1500,900,900,900,900,900,900,1100,900,55,72,127.0765352,37.50868016,42:11.0
C1108592,서울특별시 강동구 고덕로 385 고덕그라시움아파트(상가4동) 108109호 (고덕동),선약국,02-3426-0457,2000,2000,2000,2000,2000,1500,2000,1500,900,900,900,900,900,900,1100,900,52,23,127.1684288,37.55736627,42:11.0
C1101234,서울특별시 광진구 용마산로 8,선약국,02-456-3433,1900,1900,1900,1900,1900,1600,2000,1500,900,900,900,900,900,900,1100,900,49,53,127.088749,37.55425125,42:11.0
C1101236,서울특별시 성북구 돌곶이로41길 10 (장위동),선약국,02-942-4553,2030,2100,2030,2100,2030,2030,2000,1500,830,830,830,830,830,830,1100,900,27,54,127.0457108,37.61843871,42:11.0
C1101009,서울특별시 강북구 노해로23길 73 (수유동),선영약국,02-998-3882,2100,2100,2100,2100,2100,2030,2000,2030,900,900,900,900,900,900,1100,900,10,47,127.0195586,37.64598278,42:11.0
C1102247,서울특별시 성동구 마장로 187 1층 (홍익동),선영약국,02-2294-3734,2130,2130,2130,2130,2130,2130,2000,2030,930,930,930,930,930,930,1100,900,47,6,127.0307517,37.56687078,42:11.0
C1102249,서울특별시 은평구 은평로 52  (신사동),선우약국,02-302-5583,1930,1930,1930,1930,1930,1500,2000,2030,830,830,830,830,830,830,1100,900,34,49,126.9135945,37.59845001,42:11.0
C1101011,서울특별시 영등포구 양평로 129 (양평동5가1층),선유도온누리약국,02-3667-3517,2030,2030,2030,2030,2030,1500,2000,2030,900,900,900,900,900,900,1100,900,150,105,126.8932528,37.53792252,42:11.0
C1107978,서울특별시 강남구 봉은사로 327 궁도빌딩 1층 (논현동),선정릉약국,02-541-8378,1930,1930,1930,1930,1930,1400,2000,2030,900,900,900,900,900,900,1100,900,61,3,127.0426542,37.51018696,42:11.0
C1102227,서울특별시 마포구 독막로20길 53 1층 (창전동),선진약국,02-334-5437,1900,1900,1900,1900,1900,1400,2000,2030,900,900,900,900,900,900,1100,900,40,78,126.9283557,37.54704912,42:11.0
C1101953,서울특별시 성북구 길음로 20 길음뉴타운래미안길음3차아파트 상가 514호 515호 (길음동),선한약국,02-913-9270,1800,1800,1800,1800,1800,1400,2000,2030,900,900,900,900,900,900,1100,900,27,25,127.0230392,37.60475389,42:11.0
C1102228,서울특별시 성북구 돌곶이로 67 (석관동),선화약국,02-960-1614,1900,1900,1900,1900,1900,1800,2000,2030,900,900,900,900,900,900,1100,900,27,87,127.0580049,37.60970093,42:11.0
C1101116,서울특별시 중랑구 망우로 441 (망우동),선화약국,02-434-8784,1900,1900,1900,1900,1900,1600,2000,2030,900,900,900,900,900,900,1100,900,20,59,127.1010066,37.60025121,42:11.0
C1104581,서울특별시 영등포구 도신로58길 17  (신길동),선화온누리약국,02-833-7998,2100,2100,2100,2100,2100,1500,2030,2030,930,930,930,930,930,930,1200,1200,73,49,126.9170506,37.51047938,42:11.0
C1108799,서울특별시 동작구 현충로 75 원불교100년기념관 (흑석동),2층은약국,02-6484-8248,1900,2100,1900,2100,2030,1500,1900,1800,915,915,915,915,915,915,1000,900,69,4,126.9638593,37.50975909,42:03.0
C1108125,서울특별시 서초구 강남대로 465 교보타워 B동 지상1층 (서초동),가온약국,02-533-1884,2000,2000,2000,2000,2000,1800,2000,2000,1000,1000,1000,1000,1000,1000,900,900,66,11,127.0241119,37.50375542,42:04.0
C1109326,서울특별시 성동구 마조로1길 39(행당동),설약국,02-2294-8274,2300,2300,2300,2300,2300,2300,2100,2300,800,800,800,800,800,900,1200,800,47,60,127.0392349,37.5609489,42:11.0
C1108714,서울특별시 동작구 노량진로 124 1층 (노량진동),설약국,02-825-8272,2300,2300,2300,2300,2300,2300,2300,2300,800,800,800,800,800,900,900,900,69,28,126.9396191,37.51327301,42:11.0
C1101192,서울특별시 동대문구 전농로 134 (전농동),설파약국,02-2245-4501,1830,1830,1830,1830,1830,1530,2300,2300,900,900,900,900,900,900,900,900,25,31,127.0580108,37.57685233,42:11.0
C1102230,서울특별시 도봉구 도당로 133 (방학동),성가온누리약국,02-6080-6424,2100,2100,2100,2100,2100,1400,2300,2300,900,900,900,900,900,900,900,900,13,51,127.0410982,37.66745035,42:11.0
C1103678,서울특별시 중랑구 망우로 478 (망우동),성경온누리약국,02-432-6443,1800,1800,1800,1800,1800,1300,2300,2300,900,900,900,900,900,900,900,900,21,78,127.1052613,37.60037994,42:11.0
C1108174,서울특별시 강남구 일원로 49 1층 (일원동),성균관약국,02-451-4578,1830,1830,1830,1830,1830,1300,2300,2300,830,830,830,830,830,830,900,900,63,43,127.0816394,37.4896127,42:11.0
C1104551,서울특별시 종로구 수표로 115 1층 (낙원동),성당약국,02-765-4342,2100,2100,2100,2100,2100,2100,2300,2300,1000,1000,1000,1000,1000,1000,900,900,31,40,126.9890564,37.57154937,42:11.0
C1101225,서울특별시 동작구 성대로 11 (상도동),성대약국,02-821-1519,2130,2130,2130,2130,2130,2100,2000,2000,900,900,900,900,900,900,900,900,69,59,126.9325941,37.49999046,42:11.0
C1102231,서울특별시 강동구 구천면로 372 (천호동),성덕약국,02-487-5503,1900,1900,1900,1900,1900,1400,2000,2000,900,900,900,900,900,900,900,900,53,5,127.1399631,37.55051546,42:11.0
C1101226,서울특별시 용산구 회나무로 25 (이태원동),성도약국,02-793-9991,2000,2000,2000,2000,2000,1900,1800,2000,900,900,900,900,900,900,1000,900,43,44,126.9894944,37.53954722,42:11.0
C1100845,서울특별시 광진구 자양번영로 11,성동약국,02-452-1809,2100,2100,2100,2100,2100,2100,1800,2100,900,900,900,900,900,1000,1000,1000,50,93,127.0747059,37.5307103,42:11.0
C1107772,서울특별시 성동구 난계로 36 1층 (금호동1가 제일의원),성동온누리약국,02-2295-8810,1900,1900,1900,1900,1900,1400,1800,2100,900,900,900,900,900,900,1000,1000,47,18,127.024966,37.55540786,42:11.0
C1103996,서울특별시 관악구 쑥고개로 86 (봉천동),성락약국,02-889-8275,2100,2100,1900,2100,1800,1700,1800,2100,900,900,900,900,900,900,1000,1000,88,31,126.9460602,37.47920305,42:11.0
C1108264,서울특별시 영등포구 영중로 45 지하1층 101호 (영등포동6가),성모메디컬약국,02-2678-1670,2000,2000,2000,2000,2000,2000,2000,2100,900,900,900,900,900,900,900,1000,72,51,126.9044584,37.5204599,42:11.0
C1109479,서울특별시 동대문구 왕산로 193 1층 102호 (청량리동),성모약국,02-960-7784,1900,1900,1900,1900,1900,1500,2000,2100,900,900,900,900,900,900,900,1000,25,73,127.0445332,37.58022535,42:11.0
C1101089,서울특별시 마포구 백범로 127,성모약국,02-713-7854,1800,1800,1800,1800,1800,1400,2000,2100,830,830,830,830,830,830,900,1000,41,38,126.9453766,37.54657566,42:11.0
C1107879,서울특별시 동작구 상도로 247 1층 (상도동),성모약국,02-815-8342,2100,2100,2100,2100,2100,2100,2000,2000,830,830,830,830,830,830,1000,1000,69,21,126.9462562,37.50506473,42:11.0
C1102225,서울특별시 강남구 개포로 516,성모약국,02-3412-1336,1800,1800,1800,1800,1800,1500,1900,2000,730,730,730,730,730,730,930,1000,63,30,127.0712186,37.48825237,42:11.0
C1101093,서울특별시 강서구 화곡로 313,성모약국,02-2601-5300,1900,1900,1900,1900,1900,1400,1900,2000,900,900,900,900,900,900,930,1000,76,86,126.8497321,37.55228302,42:11.0
C1101088,서울특별시 성동구 뚝섬로 388 (성수동2가 성수메디칼),성모약국,02-6014-9641,1900,1900,1900,1900,1900,1500,1900,2000,900,900,900,900,900,900,930,1000,47,75,127.0536505,37.53900734,42:11.0
C1108333,서울특별시 은평구 통일로 1034 1층 129호 (진관동 은평 스카이뷰 자이),성모자이약국,02-357-1700,1900,1900,1900,1900,1900,1300,1900,2000,830,830,830,830,830,830,930,1000,33,6,126.9176577,37.6352817,42:11.0
C1102226,서울특별시 금천구 한내로 69-15,성문약국,02-893-9098,2100,2100,2100,2100,2100,1900,1900,2000,900,900,900,900,900,900,930,1000,85,97,126.8878911,37.45752654,42:11.0
C1103635,서울특별시 관악구 남부순환로208길 10 (봉천동),성보약국,02-885-4250,2130,2130,2130,2130,2130,2100,1930,1930,900,900,900,900,900,900,930,930,87,84,126.9432915,37.48171824,42:11.0
C1104513,서울특별시 성북구 동소문로 32 (동소문동3가),성북녹십자약국,02-926-4166,2030,2030,2030,2030,2030,1900,1930,1930,830,830,830,830,830,830,930,930,28,60,127.0097102,37.58975964,42:11.0
C1109241,서울특별시 성북구 종암로 78 1층 (종암동),성북성모약국,02-913-7516,2100,2100,2100,2100,2100,1800,1930,1930,930,930,930,930,930,930,930,930,28,0,127.0354884,37.59726411,42:11.0
C1100837,서울특별시 성북구 화랑로19길 83 1층 (장위동),성북월드팜약국,02-918-7972,2100,2100,2100,2100,2100,2100,2100,2100,900,900,900,900,900,900,900,900,27,69,127.051314,37.60992747,42:11.0
C1103511,서울특별시 성동구 고산자로 234 7층 (행당동),성산약국,02-2294-8555,1900,1900,1900,1900,1900,1400,2100,2100,900,900,900,900,900,900,900,900,47,44,127.0352854,37.56056253,42:11.0
C1100351,서울특별시 마포구 월드컵북로38길 14 408호 (중동 오윤빌딩),성산연세약국,02-374-3788,1830,1830,1830,1830,1830,1300,2100,2100,930,930,930,930,930,900,900,900,39,41,126.9038023,37.5706122,42:11.0
C1100841,서울특별시 마포구 월드컵북로38길 14 3층(중동오윤빌딩),성산진약국,02-376-2639,1800,1800,1800,1800,1800,1300,2100,2100,900,900,900,900,900,900,900,900,39,41,126.9037561,37.57053684,42:11.0
C1103103,서울특별시 마포구 월드컵로 205 (성산동) SH빌 상가 101호,성산현대약국,02-376-0340,1800,1800,1800,1800,1800,1300,2100,2100,900,900,900,900,900,900,900,900,39,53,126.9014994,37.56504612,42:11.0
C1109044,서울특별시 성동구 아차산로 116 1층 (성수동2가),성수약국,02-469-9886,2100,2100,2100,2100,2100,1700,2100,2100,900,900,900,900,900,900,900,900,47,82,127.0566276,37.54404155,42:11.0
C1101657,서울특별시 관악구 은천로 105 (봉천동),성수온누리약국,02-882-1941,1900,1900,1900,1900,1900,1400,2100,2100,900,900,900,900,900,900,900,900,87,29,126.9471443,37.48712876,42:11.0
C1100910,서울특별시 성동구 아차산로7길 21,성수종로약국,02-469-4928,2000,2000,2000,2000,2000,1700,2100,2100,900,900,900,900,900,900,900,900,47,93,127.054797,37.54720231,42:11.0
C1108269,서울특별시 성동구 아차산로 120 베델 플레이스 3층 302호 (성수동2가),성수햇살약국,02-463-5657,1900,2000,1900,2000,1900,1400,2100,2100,900,900,900,900,900,900,900,900,47,83,127.0572252,37.54391071,42:11.0
C1100914,서울특별시 은평구 갈현로11길 26 지층 (구산동),성실약국,02-354-1388,2000,2000,2000,2000,2000,1800,1800,1800,900,900,900,900,900,1000,800,900,34,28,126.9077296,37.60512011,42:11.0
C1104385,서울특별시 구로구 경인로20길 6 포스시티 104호 (오류동),성심약국,02-2687-1489,1800,1800,1800,1800,1800,1400,1800,1800,900,900,900,900,900,900,800,900,82,71,126.8433745,37.49540392,42:11.0
C1104881,서울특별시 마포구 독막로 268,성심약국,02-707-3300,1800,1800,1800,1800,1800,1400,1800,1800,900,900,900,900,900,900,800,900,41,53,126.9428878,37.54567706,42:11.0
C1109364,서울특별시 관악구 봉천로 227 107호 (봉천동),성심약국,02-889-9395,2000,2000,2000,2000,2000,1500,1800,1800,830,830,830,830,830,830,800,900,87,8,126.9271176,37.49003154,42:11.0
C1109224,서울특별시 강남구 개포로 223  (개포동),성심약국,02-3463-0689,1900,1900,1900,1900,1900,1500,1800,1800,900,900,900,900,900,900,800,900,63,6,127.0472556,37.47894145,42:11.0
C1100919,서울특별시 종로구 지봉로 61 1층 (창신동),성심약국,02-743-2062,1930,1930,1930,1930,1930,1530,1800,1800,900,900,900,900,900,900,800,900,31,3,127.0154772,37.57552693,42:11.0
C1102336,서울특별시 양천구 목동중앙북로 128,성심약국,02-2643-9211,2100,2100,2100,2100,2100,2000,1800,1800,900,900,900,900,900,900,800,1000,79,70,126.8773958,37.54625347,42:11.0
C1102334,서울특별시 서대문구 신촌로37길 9 (북아현동),성심약국,02-362-0414,2100,2100,2100,2100,2100,1900,1800,1800,900,900,900,900,900,900,800,1000,37,57,126.9569927,37.55794348,42:11.0
C1102996,서울특별시 송파구 마천로 190 (오금동 청전빌딩 104호),성심약국,02-404-7341,1800,1800,1800,1800,1800,1300,1800,1800,900,900,900,900,900,900,800,1000,57,39,127.1397473,37.50255437,42:11.0
C1109266,서울특별시 은평구 통일로 856 메트로타워 2층 2101~2103호 (불광동),2층종로약국,02-525-5603,2000,2000,2000,2000,2000,1400,1900,1800,900,900,900,900,900,900,1000,900,33,45,126.9215229,37.61962267,42:03.0
C1108936,서울특별시 강북구 한천로132길 28 (번동),가까운현대약국,02-6405-5452,2100,2100,2100,2100,2100,1500,2100,2100,900,900,900,900,900,900,1300,1300,10,58,127.0293418,37.63997965,42:03.0
C1102843,서울특별시 노원구 석계로 49 (월계동 현대아파트 주상가 122호),성심온누리약국,02-943-1651,2130,2130,2130,2130,2130,2130,1800,2130,900,900,900,900,900,900,800,900,19,1,127.0625369,37.61722367,42:11.0
C1102995,서울특별시 서대문구 연희로 114,성우당약국,02-334-2968,1800,1800,1800,1800,1800,1900,1800,2130,900,900,900,900,900,900,800,900,37,24,126.9319407,37.56787872,42:11.0
C1107087,서울특별시 영등포구 여의대로 24 전국경제인연합회회관 지하1층 114-2호 (여의도동),성우약국,02-718-1454,2000,2000,2000,2000,2000,1400,1800,2130,800,800,800,800,800,900,800,900,73,20,126.9200557,37.52201064,42:11.0
C1108151,서울특별시 광진구 천호대로122길 16 1층 (능동),성원약국,02-457-7978,1930,1930,1930,1930,1930,1400,1800,2130,900,900,900,900,900,900,800,900,49,87,127.0876149,37.55288674,42:11.0
C1103646,서울특별시 송파구 송파대로28길 27 102동 201호 (가락동 송파성원쌍떼빌),성원큰사랑약국,02-406-3555,1900,1900,1900,1900,1900,1300,1800,2130,900,900,900,900,900,900,800,900,57,18,127.1200938,37.49488443,42:11.0
C1100885,서울특별시 마포구 효창원로 255-1 1층 (공덕동),성은약국,02-712-2209,1900,1900,1900,1900,1900,1600,1800,2130,900,900,900,900,900,900,800,900,41,83,126.9634658,37.55000968,42:11.0
C1106983,서울특별시 성동구 상원길 59  (성수동1가),성은약국,02-497-0166,2100,2100,2100,2100,2100,2100,1800,2130,900,900,900,900,900,900,800,900,47,88,127.0478865,37.54929923,42:11.0
C1100886,서울특별시 구로구 개봉로 9 (개봉동),성인약국,02-2682-2643,2200,2200,2200,2200,2200,2200,2100,2100,900,900,900,900,900,900,1000,1000,83,52,126.8561759,37.4865404,42:11.0
C1103797,서울특별시 강남구 압구정로 160 제성빌딩 3층 301호 (신사동),성일약국,02-546-3906,1800,1800,1800,1800,1800,1500,2100,2100,830,830,830,830,830,830,1000,1000,60,30,127.0272256,37.52626272,42:11.0
C1100889,서울특별시 중랑구 사가정로45길 41 (면목동),성재약국,02-434-6715,2130,2130,2130,2130,2130,2130,2100,2100,900,900,900,900,900,900,1000,1000,22,22,127.0853823,37.58300054,42:11.0
C1103352,서울특별시 송파구 동남로 136 (문정동),성조약국,02-407-1569,2100,2100,2100,2100,2100,2100,2100,2100,900,900,900,900,900,900,1000,1000,57,96,127.1260302,37.49109098,42:11.0
C1100908,서울특별시 서초구 방배로 268,성지약국,02-537-1086,2000,2000,2000,2000,2000,1500,2100,2100,1030,1030,1030,1030,1030,1030,1000,1000,65,74,126.9884401,37.49666592,42:11.0
C1102293,서울특별시 중랑구 공릉로12가길 52 (묵동),성지약국,02-972-9890,2230,2230,2230,2230,2230,2230,2230,2230,930,930,930,930,930,1730,1730,1730,20,30,127.0822412,37.61752513,42:11.0
C1101300,서울특별시 마포구 동교로 181 (동교동),성지약국,02-333-4254,1900,1900,1900,1900,1900,1400,2230,2230,900,900,900,900,900,900,1730,1730,39,92,126.9215197,37.55680078,42:11.0
C1102294,서울특별시 강남구 논현로 507 지하1층 5층(역삼동성지하이츠 제3차),성지프라자약국,02-565-5646,2100,2100,2100,2100,2100,1400,2230,2230,1030,1030,1030,1030,1030,900,1730,1730,61,32,127.0361578,37.50157912,42:11.0
C1101303,서울특별시 종로구 창경궁로 271-1 (혜화동),성진약국,02-762-2211,2100,2100,2100,2100,2100,2100,2230,2230,900,900,900,900,900,1000,1730,1730,30,75,127.0005978,37.58552357,42:11.0
C1104329,서울특별시 광진구 면목로 203,성진약국,02-432-4948,2030,2030,2030,2030,2030,1600,2230,2230,930,930,930,930,930,930,1730,1730,49,2,127.0832448,37.57121901,42:11.0
C1102224,서울특별시 중랑구 면목로45길 36 (면목동),세일약국,02-434-3991,2100,2100,2100,2100,2100,2100,1800,1900,900,900,900,900,900,900,1000,930,22,28,127.0865268,37.58195455,10:49.0
C1101305,서울특별시 강서구 강서로5나길 104,성혜약국,02-2603-1972,2100,2100,2100,2100,2100,2100,2230,2230,900,900,900,900,900,900,1730,1730,77,80,126.8423415,37.52819519,42:11.0
C1100865,서울특별시 은평구 진흥로1길 23 (역촌동),성환약국,02-355-8374,1800,1800,1800,1800,1800,1400,2230,2230,900,900,900,900,900,830,1730,1730,34,7,126.918414,37.60256736,42:11.0
C1107566,서울특별시 동작구 등용로 115 101호 (대방동 엘리시아빌딩),가족건강약국,02-822-9095,2000,2000,2000,2000,2000,2000,2000,2000,800,800,800,800,800,900,900,900,69,42,126.9317558,37.51144717,42:04.0
C1108415,서울특별시 종로구 세검정로6길 104 1층 (신영동),세검정약국,02-394-3949,2000,2100,1830,2100,2000,1530,2230,2230,900,900,900,900,900,900,1730,1730,30,19,126.9618008,37.60163253,42:11.0
C1109203,서울특별시 송파구 위례서로 248 지하1층 L07 L08 L09호 (거여동),세계로메디칼약국,02-404-1275,1900,1900,1900,1900,1900,1330,2230,2230,900,900,900,900,900,900,1730,1730,57,90,127.1422629,37.48664275,42:11.0
C1101002,서울특별시 은평구 불광로 54 (불광동),세계로약국,02-355-0513,2100,2100,2100,2100,2100,1900,2230,1900,830,830,830,830,830,930,1730,930,33,68,126.931483,37.61181802,42:11.0
C1101003,서울특별시 노원구 상계로 119 (상계동),세계로약국,02-951-7274,2000,2000,2000,2000,2000,1700,2230,1900,900,900,900,900,900,900,1730,930,16,84,127.067893,37.65792,42:11.0
C1103858,서울특별시 성북구 화랑로40길 54 (석관동),세계로약국,02-962-5446,2250,2250,2250,2250,2250,2250,2230,1600,900,900,900,900,900,900,1730,830,27,81,127.0645249,37.61348778,42:11.0
C1109018,서울특별시 중랑구 동일로 775 그린빌딩 1층 (중화동),세계로약국,02-432-3284,2130,2130,2130,2130,2130,2100,2230,1600,900,900,900,900,900,900,1730,830,21,2,127.0794667,37.5996887,42:11.0
C1101016,서울특별시 강북구 도봉로 253 (수유동),세계로약국,02-985-0502,1900,1900,1900,1900,1900,1500,2230,1600,830,830,830,830,830,830,1730,830,11,17,127.0238833,37.63106111,42:11.0
C1100867,서울특별시 광진구 아차산로 219 (화양동 삼영빌딩),세계로약국,02-466-0253,2200,2200,2200,2200,2200,2200,2200,2200,900,900,900,900,900,900,900,900,50,19,127.06785,37.54121389,42:11.0
C1102285,서울특별시 서초구 동작대로 38 (방배동),세계로약국,02-3474-2599,2130,2130,2130,2130,2130,2130,2100,2100,900,900,900,900,900,900,1100,900,66,91,126.9821683,37.47982577,42:11.0
C1101019,서울특별시 동작구 상도로 206 (상도동),세계로약국,02-814-6220,2000,2000,2000,2000,2000,1800,1400,1400,900,900,900,900,900,900,900,900,69,64,126.9415243,37.50496877,42:11.0
C1100869,서울특별시 송파구 거마로 66 (마천동),세계로약국,02-402-0067,2130,2130,2130,2130,2130,2100,2100,2100,900,900,900,900,900,900,900,900,57,55,127.1471903,37.49865298,42:11.0
C1102286,서울특별시 마포구 월드컵북로 347  (상암동),세계로약국,02-373-0343,2100,2100,2100,2100,2100,2000,2100,2100,900,900,900,900,900,900,900,900,39,12,126.8932578,37.57631166,42:11.0
C1106921,서울특별시 구로구 경인로 643,세계로온누리약국,02-2631-7351,2000,2000,2000,2000,2000,1800,2100,2100,930,930,930,930,930,930,900,900,82,8,126.8865701,37.50828766,42:11.0
C1102288,서울특별시 중구 남대문로 지하 72 바-2호 (남대문로2가 명동지하쇼핑센터),세계약국,02-776-8000,2130,2130,2130,2130,2130,2130,2130,2130,900,900,900,900,900,900,1000,1000,45,35,126.9816083,37.56351667,42:11.0
C1101286,서울특별시 용산구 원효로 171,세계약국,02-703-4649,1900,1900,1900,1900,1900,1300,2130,2130,930,930,930,930,930,900,1000,1000,43,64,126.9620529,37.53572365,42:11.0
C1104587,서울특별시 강남구 헌릉로570길 34,세곡리엔약국,02-445-8604,2100,2100,2100,2100,2100,1400,2130,2130,900,900,900,900,900,900,1000,1000,63,65,127.1034323,37.46316309,42:11.0
C1101288,서울특별시 동대문구 왕산로 171 (제기동),세광약국,02-962-8989,2030,2030,2030,2030,2030,2030,2030,2030,700,700,700,700,700,700,700,700,25,72,127.0421004,37.57948481,42:11.0
C1102929,서울특별시 관악구 남부순환로161가길 26,세란약국,02-854-5925,2000,2000,2000,2000,2000,1800,2030,2030,830,830,830,830,830,830,700,700,87,62,126.9173506,37.48503538,42:11.0
C1102292,서울특별시 광진구 천호대로 635,세란약국,02-455-0789,1830,1830,1830,1830,1830,1400,2030,2030,930,930,930,930,930,930,700,700,49,31,127.0883503,37.55395241,42:11.0
C1103863,서울특별시 서대문구 연세로 39 (창천동),세란약국,02-322-1239,1800,1800,1800,1800,1800,1800,2030,2030,900,900,900,900,900,900,700,700,37,88,126.9366911,37.5591687,42:11.0
C1107988,서울특별시 강서구 강서로 231 208호 (화곡동 우장산역 해링턴 타워),세란온누리약국,02-2065-1103,1800,1800,1800,1800,1800,1500,2030,2030,830,830,830,830,830,830,700,700,77,5,126.8360234,37.54812831,42:11.0
C1108671,서울특별시 서초구 서초중앙로 125 로이어즈타워 8층 803호 (서초동),8층약국,02-582-8885,2000,2000,2000,2000,2000,1600,2500,2500,900,900,900,900,900,900,1300,1300,66,44,127.0134188,37.49300947,42:03.0
C1103279,서울특별시 동작구 여의대방로44길 47 (대방동 주공상가 101호),세메론약국,02-825-6161,1830,1830,1830,1830,1830,1500,2030,2030,900,900,900,900,900,900,700,700,69,42,126.9296783,37.50979217,42:11.0
C1109523,서울특별시 금천구 시흥대로 222 1층 (시흥동),세명당약국,02-803-3481,2000,2000,2000,2000,2000,2000,1900,1900,830,830,830,830,830,830,1000,1000,86,28,126.9012844,37.45371766,42:11.0
C1104221,서울특별시 구로구 오류로8길 16 세명프라자 201호 (오류동),세명약국,02-2615-7570,1900,1900,1900,1900,1900,1400,1900,1900,900,900,900,900,900,900,1000,1000,83,43,126.8415217,37.49098344,42:11.0
C1100995,서울특별시 강남구 학동로 411  (청담동),세명약국,02-540-0054,1900,1900,1900,1900,1900,1530,1900,1900,830,830,830,830,830,900,1000,1000,60,69,127.0447129,37.51809702,42:11.0
C1100996,서울특별시 광진구 천호대로 575 (중곡동),세명약국,02-447-2998,2130,2130,2130,2130,2130,2030,1900,1900,900,900,900,900,900,900,1000,1000,49,30,127.0820472,37.55649167,42:11.0
C1100998,서울특별시 종로구 자하문로7길 73 101호 (누하동 트라이빌),세민약국,02-739-8851,1900,1900,1900,1900,1900,1500,1900,1900,900,900,900,900,900,900,1000,1000,30,36,126.9687222,37.58034722,42:11.0
C1103351,서울특별시 동작구 동작대로25길 39 (사당동),세브란스약국,02-593-1551,2200,2200,2200,2200,2200,2200,1900,1900,830,830,830,830,830,830,1000,1000,70,8,126.9803669,37.48541175,42:11.0
C1102283,서울특별시 용산구 대사관로 56 (한남동),세브레스약국,02-798-3048,1800,1800,1800,1800,1800,1300,1900,1900,830,830,830,830,830,830,1000,1000,44,2,127.0041872,37.53329392,42:11.0
C1107386,서울특별시 서초구 서초대로 240 지하1층 B02호 (서초동 서초동 동일하이빌),세븐약국,02-598-7753,1900,2100,1900,1900,2000,1630,1900,1900,900,900,900,900,900,900,1000,1000,66,47,127.0083451,37.49157598,42:11.0
C1109157,서울특별시 강서구 마곡동로 61 에이스프라자 403호 (마곡동),세븐약국,02-2088-4850,2030,2030,2030,2030,2030,1330,1900,1900,730,730,730,730,730,900,1000,1000,78,2,126.8331597,37.56061779,42:11.0
C1107541,서울특별시 서대문구 응암로 64 1층 (북가좌동),세빛약국,02-6052-0333,1900,2000,1900,1900,2000,1500,1900,1900,900,900,900,900,900,900,1000,1000,36,91,126.9106966,37.57871612,42:11.0
